File Name,Class,Microns Per Pixel,Magnification,The Number of Pyramid Levels in Tiff,Level[0] Downsampling Factor,Level[0] Image Width (Pixels),Level[0] Image Height (Pixels),Level[0] Tile Image Width (Pixels),Level[0] Tile Image Height (Pixels),Level[1] Downsampling Factor,Level[1] Image Width (Pixels),Level[1] Image Height (Pixels),Level[1] Tile Image Width (Pixels),Level[1] Tile Image Height (Pixels),Level[2] Downsampling Factor,Level[2] Image Width (Pixels),Level[2] Image Height (Pixels),Level[2] Tile Image Width (Pixels),Level[2] Tile Image Height (Pixels),Level[3] Downsampling Factor,Level[3] Image Width (Pixels),Level[03 Image Height (Pixels),Level[3] Tile Image Width (Pixels),Level[3] Tile Image Height (Pixels),Level[4] Downsampling Factor,Level[4] Image Width (Pixels),Level[4] Image Height (Pixels),Level[4] Tile Image Width (Pixels),Level[4] Tile Image Height (Pixels),Level[5] Downsampling Factor,Level[5] Image Width (Pixels),Level[5] Image Height (Pixels),Level[5] Tile Image Width (Pixels),Level[5] Tile Image Height (Pixels),Level[6] Downsampling Factor,Level[6] Image Width (Pixels),Level[6] Image Height (Pixels),Level[6] Tile Image Width (Pixels),Level[6] Tile Image Height (Pixels),Level[7] Downsampling Factor,Level[7] Image Width (Pixels),Level[7] Image Height (Pixels),Level[7] Tile Image Width (Pixels),Level[7] Tile Image Height (Pixels),Level[8] Downsampling Factor,Level[8] Image Width (Pixels),Level[8] Image Height (Pixels),Level[8] Tile Image Width (Pixels),Level[8] Tile Image Height (Pixels),Level[9] Downsampling Factor,Level[9] Image Width (Pixels),Level[9] Image Height (Pixels),Level[9] Tile Image Width (Pixels),Level[9] Tile Image Height (Pixels),Level[10] Downsampling Factor,Level[10] Image Width (Pixels),Level[10] Image Height (Pixels),Level[10] Tile Image Width (Pixels),Level[10] Tile Image Height (Pixels)
DHMC_0001.tif,solid,0.5028,20,9,1,39839,30468,240,240,2.00002510166173,19919,15234,240,240,4.00015061753188,9959,7617,240,240,8.00122816248411,4979,3808,240,240,16.0040636785048,2489,1904,240,240,32.0145606474101,1244,952,240,240,64.0291212948202,622,476,240,240,128.05824258964,311,238,240,240,256.529709948495,155,119,240,240,,,,,,,,,,
DHMC_0002.tif,solid,0.5038,20,8,1,49800,25855,512,512,2.00003867873443,24900,12927,512,512,4.00023209036051,12450,6463,512,512,8.00108325595791,6225,3231,512,512,16.005929309892,3112,1615,512,512,32.0217776333687,1556,807,512,512,64.083305159887,778,403,512,512,128.32620317436,389,201,512,512,,,,,,,,,,,,,,,
DHMC_0003.tif,solid,0.5038,20,8,1,45816,26741,512,512,2.00003739715782,22908,13370,512,512,4.00007479431563,11454,6685,512,512,8.00074805505685,5727,3342,512,512,16.0028932459852,2863,1671,512,512,32.0209605945342,1431,835,512,512,64.1027099998323,715,417,512,512,128.449317226891,357,208,512,512,,,,,,,,,,,,,,,
DHMC_0004.tif,solid,0.5038,20,8,1,45816,26097,512,512,2.00003832004905,22908,13048,512,512,4.0000766400981,11454,6524,512,512,8.0001532801962,5727,3262,512,512,16.0017036962639,2863,1631,512,512,32.0188151920876,1431,815,512,512,64.0993573993574,715,407,512,512,128.446392350044,357,203,512,512,,,,,,,,,,,,,,,
DHMC_0005.tif,lepidic,0.5038,20,8,1,31872,33269,512,512,2.00003005891547,15936,16634,512,512,4.00006011783095,7968,8317,512,512,8.00060125060125,3984,4158,512,512,16.0012025012025,1992,2079,512,512,32.0101058710298,996,1039,512,512,64.0510597302505,498,519,512,512,128.225868725869,249,259,512,512,,,,,,,,,,,,,,,
DHMC_0006.tif,acinar,0.2519,40,10,1,100800,80727,240,240,2.00001238758269,50400,40363,240,240,4.0000743273376,25200,20181,240,240,8.00034687809713,12600,10090,240,240,16.0006937561943,6300,5045,240,240,32.0045598731166,3150,2522,240,240,64.0091197462332,1575,1261,240,240,128.109708356023,787,630,240,240,256.382370047256,393,315,240,240,514.235213830755,196,157,240,240,,,,,
DHMC_0007.tif,acinar,0.5038,20,9,1,47808,22631,240,240,2.00004418912947,23904,11315,240,240,4.00026515821107,11952,5657,240,240,8.00123762376238,5976,2828,240,240,16.0024752475248,2988,1414,240,240,32.0049504950495,1494,707,240,240,64.0552407932011,747,353,240,240,128.378404521082,373,176,240,240,257.101356304985,186,88,240,240,,,,,,,,,,
DHMC_0008.tif,solid,0.5038,20,7,1,27888,30609,512,512,2.00003267119707,13944,15304,512,512,4.00006534239415,6972,7652,512,512,8.00013068478829,3486,3826,512,512,16.0002613695766,1743,1913,512,512,32.0180760583949,871,956,512,512,64.0729548405713,435,478,512,512,,,,,,,,,,,,,,,,,,,,
DHMC_0009.tif,acinar,0.5038,20,8,1,43824,25532,512,512,2,21912,12766,512,512,4,10956,6383,512,512,8.00062676277029,5478,3191,512,512,16.0037617554859,2739,1595,512,512,32.0234095535394,1369,797,512,512,64.1104646037204,684,398,512,512,128.220929207441,342,199,512,512,,,,,,,,,,,,,,,
DHMC_0010.tif,acinar,0.5038,20,8,1,43824,32222,512,512,2,21912,16111,512,512,4.00012414649286,10956,8055,512,512,8.00074497144276,5478,4027,512,512,16.00347739692,2739,2013,512,512,32.0207542182987,1369,1006,512,512,64.0649087928569,684,503,512,512,128.257426434612,342,251,512,512,,,,,,,,,,,,,,,
DHMC_0011.tif,acinar,0.5038,20,8,1,59760,33029,512,512,2.00003027734044,29880,16514,512,512,4.00006055468088,14940,8257,512,512,8.00060562015504,7470,4128,512,512,16.0012112403101,3735,2064,512,512,32.0067074297364,1867,1032,512,512,64.0305684339091,933,516,512,512,128.1298615963,466,258,512,512,,,,,,,,,,,,,,,
DHMC_0012.tif,solid,0.5038,20,7,1,31872,27305,512,512,2.00003662467038,15936,13652,512,512,4.00007324934076,7968,6826,512,512,8.00014649868151,3984,3413,512,512,16.0026377491208,1992,1706,512,512,32.0052754982415,996,853,512,512,64.0481220657277,498,426,512,512,,,,,,,,,,,,,,,,,,,,
DHMC_0013.tif,solid,0.5038,20,8,1,41832,32786,512,512,2,20916,16393,512,512,4.00012201073695,10458,8196,512,512,8.00024402147389,5229,4098,512,512,16.00201826483,2614,2049,512,512,32.0118495062643,1307,1024,512,512,64.0482059963629,653,512,512,512,128.194665452454,326,256,512,512,,,,,,,,,,,,,,,
DHMC_0014.tif,acinar,0.5028,20,9,1,43824,31590,240,240,2,21912,15795,240,240,4.00012663036596,10956,7897,240,240,8.00075987841945,5478,3948,240,240,16.0015197568389,2739,1974,240,240,32.0088831951972,1369,987,240,240,64.0736272730508,684,493,240,240,128.277492511767,342,246,240,240,256.554985023534,171,123,240,240,,,,,,,,,,
DHMC_0015.tif,acinar,0.5028,20,9,1,37848,37927,240,240,2.000026367136,18924,18963,240,240,4.00015821115916,9462,9481,240,240,8.00073839662447,4731,4740,240,240,16.0031681251728,2365,2370,240,240,32.0131058707618,1182,1185,240,240,64.0532437577171,591,592,240,240,128.215030920751,295,296,240,240,256.866450634308,147,148,240,240,,,,,,,,,,
DHMC_0016.tif,acinar,0.5038,20,8,1,49800,37381,512,512,2.00002675227394,24900,18690,512,512,4.00005350454789,12450,9345,512,512,8.00053510273973,6225,4672,512,512,16.0023555525232,3112,2336,512,512,32.0047111050463,1556,1168,512,512,64.0094222100926,778,584,512,512,128.018844420185,389,292,512,512,,,,,,,,,,,,,,,
DHMC_0017.tif,solid,0.5038,20,8,1,41832,34721,512,512,2.00002880184332,20916,17360,512,512,4.00005760368664,10458,8680,512,512,8.00011520737327,5229,4340,512,512,16.0017606366287,2614,2170,512,512,32.0035212732574,1307,1085,512,512,64.061070675791,653,542,512,512,128.22039481131,326,271,512,512,,,,,,,,,,,,,,,
DHMC_0018.tif,lepidic,0.5028,20,9,1,31871,24059,240,240,2.00007294368596,15935,12029,240,240,4.00043769466575,7967,6014,240,240,8.00137757067136,3983,3007,240,240,16.0074262992515,1991,1503,240,240,32.0335539214046,995,751,240,240,64.1420469483568,497,375,240,240,128.584925392444,248,187,240,240,257.861559139785,124,93,240,240,,,,,,,,,,
DHMC_0019.tif,lepidic,0.2523,40,10,1,117528,79792,240,240,2,58764,39896,240,240,4,29382,19948,240,240,8,14691,9974,240,240,16.0005445881552,7345,4987,240,240,32.0064769590147,3672,2493,240,240,64.0257975849516,1836,1246,240,240,128.051595169903,918,623,240,240,256.309101990207,459,311,240,240,514.004902098887,229,155,240,240,,,,,
DHMC_0020.tif,micropapillary,0.2523,40,10,1,71712,73911,240,240,2.00001352996888,35856,36955,240,240,4.00008118201007,17928,18477,240,240,8.00037886988526,8964,9238,240,240,16.0007577397705,4482,4619,240,240,32.0049805110437,2241,2309,240,240,64.0381158702649,1120,1154,240,240,128.07623174053,560,577,240,240,256.374851190476,280,288,240,240,512.749702380952,140,144,240,240,,,,,
DHMC_0021.tif,solid,0.2523,40,10,1,71712,77499,240,240,2.0000129035588,35856,38749,240,240,4.00007742335088,17928,19374,240,240,8.00015484670177,8964,9687,240,240,16.0011356597151,4482,4843,240,240,32.0055762081784,2241,2421,240,240,64.038665879575,1120,1210,240,240,128.07733175915,560,605,240,240,256.366745506149,280,302,240,240,512.733491012299,140,151,240,240,,,,,
DHMC_0022.tif,solid,0.2523,40,11,1,127488,94064,240,240,2,63744,47032,240,240,4,31872,23516,240,240,8,15936,11758,240,240,16,7968,5879,240,240,32.0027220142906,3984,2939,240,240,64.0163376446562,1992,1469,240,240,128.076294277929,996,734,240,240,256.152588555858,498,367,240,240,513.005464480874,249,183,240,240,1030.8996809642,124,91,240,240
DHMC_0023.tif,acinar,0.2523,40,10,1,81672,57537,240,240,2.00001738042269,40836,28768,240,240,4.00003476084538,20418,14384,240,240,8.00006952169077,10209,7192,240,240,16.0009227424411,5104,3596,240,240,32.0018454848822,2552,1798,240,240,64.0036909697644,1276,899,240,240,128.078652665973,638,449,240,240,256.443342756382,319,224,240,240,513.691795822103,159,112,240,240,,,,,
DHMC_0024.tif,papillary,0.2523,40,10,1,77688,69474,240,240,2,38844,34737,240,240,4.00005757715339,19422,17368,240,240,8.00011515430677,9711,8684,240,240,16.0010542015075,4855,4342,240,240,32.0054049929996,2427,2171,240,240,64.0387514673981,1213,1085,240,240,128.189415805049,606,542,240,240,256.378831610098,303,271,240,240,514.556144223694,151,135,240,240,,,,,
DHMC_0025.tif,solid,0.2523,40,11,1,163344,75716,240,240,2,81672,37858,240,240,4,40836,18929,240,240,8.00021132713441,20418,9464,240,240,16.0004226542688,10209,4732,240,240,32.0024127066567,5104,2366,240,240,64.0048254133135,2552,1183,240,240,128.063799203306,1276,591,240,240,256.344742574783,638,295,240,240,513.562493335892,319,147,240,240,1032.26311708452,159,73,240,240
DHMC_0026.tif,acinar,0.5028,20,9,1,45815,24857,240,240,2.0000620591238,22907,12428,240,240,4.0002114335211,11453,6214,240,240,8.00077217388294,5726,3107,240,240,16.004120111402,2863,1553,240,240,32.0241445856477,1431,776,240,240,64.0706780333069,715,388,240,240,128.231099656357,357,194,240,240,256.822686204101,178,97,240,240,,,,,,,,,,
DHMC_0027.tif,acinar,0.5028,20,9,1,47807,23298,240,240,2.00002091787642,23903,11649,240,240,4.00029721580612,11951,5824,240,240,8.00092918065198,5975,2912,240,240,16.0031976936689,2987,1456,240,240,32.0117554080213,1493,728,240,240,64.0449724538196,746,364,240,240,128.089944907639,373,182,240,240,256.524429871204,186,91,240,240,,,,,,,,,,
DHMC_0028.tif,solid,0.5038,20,8,1,41832,33512,512,512,2,20916,16756,512,512,4,10458,8378,512,512,8,5229,4189,512,512,16.0034404415574,2614,2094,512,512,32.0068808831149,1307,1047,512,512,64.068868789145,653,523,512,512,128.358742918929,326,261,512,512,,,,,,,,,,,,,,,
DHMC_0029.tif,solid,0.5038,20,8,1,55776,33351,512,512,2.0000299850075,27888,16675,512,512,4.00017992083483,13944,8337,512,512,8.00083973128599,6972,4168,512,512,16.001679462572,3486,2084,512,512,32.003358925144,1743,1042,512,512,64.0250875402994,871,521,512,512,128.246883289125,435,260,512,512,,,,,,,,,,,,,,,
DHMC_0030.tif,solid,0.5038,20,8,1,43824,32383,512,512,2.00003088135384,21912,16191,512,512,4.00018529956764,10956,8095,512,512,8.00086483815172,5478,4047,512,512,16.0037073652991,2739,2023,512,512,32.0211750366133,1369,1011,512,512,64.097463956922,684,505,512,512,128.322159565581,342,252,512,512,,,,,,,,,,,,,,,
DHMC_0031.tif,solid,0.5028,20,9,1,41831,33724,240,240,2.00002390628735,20915,16862,240,240,4.00014344458258,10457,8431,240,240,8.00114396792161,5228,4215,240,240,16.0041865948351,2614,2107,240,240,32.0159732349225,1307,1053,240,240,64.0868963951112,653,526,240,240,128.272043901187,326,263,240,240,257.033508172154,163,131,240,240,,,,,,,,,,
DHMC_0032.tif,micropapillary,0.5028,20,9,1,41831,35035,240,240,2.00005244998776,20915,17517,240,240,4.00031471656248,10457,8758,240,240,8.00101201603326,5228,4379,240,240,16.003851506961,2614,2189,240,240,32.0150179248569,1307,1094,240,240,64.054542247705,653,547,240,240,128.324642126789,326,273,240,240,257.121097979069,163,136,240,240,,,,,,,,,,
DHMC_0033.tif,micropapillary,0.5028,20,9,1,43824,31667,240,240,2.0000315796122,21912,15833,240,240,4.00018948964123,10956,7916,240,240,8.00037897928247,5478,3958,240,240,16.0007579585649,2739,1979,240,240,32.0154493438045,1369,989,240,240,64.0867071524966,684,494,240,240,128.173414304993,342,247,240,240,256.867993153616,171,123,240,240,,,,,,,,,,
DHMC_0034.tif,solid,0.5028,20,9,1,45815,32142,240,240,2.00002182738901,22907,16071,240,240,4.00025542555867,11453,8035,240,240,8.00135807293331,5726,4017,240,240,16.0047085496644,2863,2008,240,240,32.0150084497788,1431,1004,240,240,64.0524057615691,715,502,240,240,128.194555112882,357,251,240,240,257.261820224719,178,125,240,240,,,,,,,,,,
DHMC_0035.tif,lepidic,0.5028,20,9,1,45815,30351,240,240,2.00005477631817,22907,15175,240,240,4.00032867665492,11453,7587,240,240,8.00153399938247,5726,3793,240,240,16.0051781900901,2863,1896,240,240,32.0159477306301,1431,948,240,240,64.0542843232717,715,474,240,240,128.198312236287,357,237,240,240,257.299752428109,178,118,240,240,,,,,,,,,,
DHMC_0036.tif,acinar,0.5028,20,9,1,35855,37371,240,240,2.00005465032353,17927,18685,240,240,4.00032791986982,8963,9342,240,240,8.00110220603169,4481,4671,240,240,16.0057036746712,2240,2335,240,240,32.0182645519647,1120,1167,240,240,64.063993200196,560,583,240,240,128.238125920471,280,291,240,240,256.919088669951,140,145,240,240,,,,,,,,,,
DHMC_0037.tif,lepidic,0.5024,20,9,1,55800,42272,240,240,2,27900,21136,240,240,4,13950,10568,240,240,8,6975,5284,240,240,16.0011471178664,3487,2642,240,240,32.0068846815835,1743,1321,240,240,64.0563893817625,871,660,240,240,128.186415882968,435,330,240,240,256.668398268398,217,165,240,240,,,,,,,,,,
DHMC_0038.tif,acinar,0.5024,20,9,1,41400,38514,240,240,2,20700,19257,240,240,4.00010386373079,10350,9628,240,240,8.00020772746157,5175,4814,240,240,16.0019616474241,2587,2407,240,240,32.0167620392175,1293,1203,240,240,64.0849409910212,646,601,240,240,128.276687306502,323,300,240,240,256.951428571429,161,150,240,240,,,,,,,,,,
