slide_name,slide_width,slide_height,slide_mag,slide_pw
TCGA-05-4405-01Z-00-DX1,50432,83712,43.01075268817204,1101
TCGA-MP-A4T9-01Z-00-DX1,97608,60553,39.603960396039604,1013
TCGA-35-4123-01Z-00-DX1,140049,55574,39.682539682539684,1015
TCGA-L9-A444-01Z-00-DX1,130424,84297,40.71661237785016,1042
TCGA-93-A4JQ-01Z-00-DX1,99599,64470,39.57261574990107,1013
TCGA-49-4490-01Z-00-DX1,146764,84786,39.682539682539684,1015
TCGA-38-4625-01Z-00-DX1,100720,41050,39.682539682539684,1015
TCGA-99-7458-01Z-00-DX1,21103,39885,39.682539682539684,1015
TCGA-64-5815-01Z-00-DX1,61751,56585,39.57261574990107,1013
TCGA-50-5045-01Z-00-DX1,89209,53125,39.682539682539684,1015
TCGA-MN-A4N1-01Z-00-DX2,113543,92514,39.57261574990107,1013
TCGA-95-7948-01Z-00-DX1,107136,64000,44.150110375275936,1130
TCGA-49-4506-01Z-00-DX3,96883,83106,39.682539682539684,1015
TCGA-95-7944-01Z-00-DX1,115072,80128,44.150110375275936,1130
TCGA-49-4506-01Z-00-DX2,125661,80560,39.682539682539684,1015
TCGA-MP-A4T7-01Z-00-DX1,71712,63395,39.603960396039604,1013
TCGA-44-6145-01Z-00-DX1,99761,33940,39.682539682539684,1015
TCGA-55-8203-01Z-00-DX1,38369,17462,39.682539682539684,1015
TCGA-44-6148-01Z-00-DX1,139090,34260,39.682539682539684,1015
TCGA-49-AARE-01Z-00-DX1,69720,70145,39.603960396039604,1013
TCGA-69-7765-01Z-00-DX1,85372,71606,39.682539682539684,1015
TCGA-69-8453-01Z-00-DX1,95616,72450,39.603960396039604,1013
TCGA-49-4512-01Z-00-DX8,104557,67706,39.682539682539684,1015
TCGA-05-4390-01Z-00-DX1,6745,10000,39.37007874015748,1007
TCGA-93-7347-01Z-00-DX1,130457,90230,39.682539682539684,1015
TCGA-05-4432-01Z-00-DX1,63488,51968,43.01075268817204,1101
TCGA-49-AAR4-01Z-00-DX1,79680,51516,39.603960396039604,1013
TCGA-NJ-A4YI-01Z-00-DX1,197207,90988,39.57261574990107,1013
TCGA-55-8615-01Z-00-DX1,59473,40707,39.682539682539684,1015
TCGA-MP-A4TC-01Z-00-DX1,103584,71180,39.603960396039604,1013
TCGA-78-7161-01Z-00-DX1,94965,77262,39.682539682539684,1015
TCGA-49-4494-01Z-00-DX6,120865,74430,39.682539682539684,1015
TCGA-55-6642-01Z-00-DX1,45084,46674,39.682539682539684,1015
TCGA-49-4512-01Z-00-DX7,96883,68653,39.682539682539684,1015
TCGA-55-6982-01Z-00-DX1,57554,48809,39.682539682539684,1015
TCGA-44-A47B-01Z-00-DX1,83530,25986,39.920159680638726,1021
TCGA-97-7554-01Z-00-DX1,119952,92684,40.71661237785016,1042
TCGA-49-4488-01Z-00-DX3,153479,84846,39.682539682539684,1015
TCGA-55-8085-01Z-00-DX1,31655,20194,39.682539682539684,1015
TCGA-44-6778-01Z-00-DX1,122783,45031,39.682539682539684,1015
TCGA-93-A4JN-01Z-00-DX1,125495,92501,39.57261574990107,1013
TCGA-49-4494-01Z-00-DX2,128538,78803,39.682539682539684,1015
TCGA-75-6207-01Z-00-DX1,25985,23320,19.980019980019982,511
TCGA-97-A4M6-01Z-00-DX1,102461,80404,40.241448692152915,1030
TCGA-49-AARN-01Z-00-DX1,115536,78279,39.603960396039604,1013
TCGA-49-4514-01Z-00-DX3,90169,75950,39.682539682539684,1015
TCGA-73-4666-01Z-00-DX1,108394,66978,39.682539682539684,1015
TCGA-05-4402-01Z-00-DX1,80896,100096,43.01075268817204,1101
TCGA-78-7154-01Z-00-DX1,119905,84571,39.682539682539684,1015
TCGA-50-5939-01Z-00-DX1,93296,85755,40.51863857374392,1037
TCGA-78-7167-01Z-00-DX1,116068,73123,39.682539682539684,1015
TCGA-44-2665-01Z-00-DX1,106476,35516,39.682539682539684,1015
TCGA-99-8025-01Z-00-DX1,94006,39470,39.682539682539684,1015
TCGA-J2-8194-01Z-00-DX1,191352,97078,40.71661237785016,1042
TCGA-55-8514-01Z-00-DX1,84413,58159,39.682539682539684,1015
TCGA-97-8552-01Z-00-DX1,105672,81895,40.71661237785016,1042
TCGA-50-6590-01Z-00-DX1,111552,79716,39.603960396039604,1013
TCGA-55-7724-01Z-00-DX1,37410,23028,39.682539682539684,1015
TCGA-38-4631-01Z-00-DX1,103598,49189,39.682539682539684,1015
TCGA-55-8508-01Z-00-DX1,66187,67386,39.682539682539684,1015
TCGA-MP-A4TI-01Z-00-DX1,91632,63758,39.603960396039604,1013
TCGA-55-8207-01Z-00-DX1,16307,15251,39.682539682539684,1015
TCGA-93-A4JP-01Z-00-DX1,89639,73358,39.57261574990107,1013
TCGA-62-A46R-01Z-00-DX1,88452,65633,39.72983710766786,1017
TCGA-62-A472-01Z-00-DX1,93259,62754,39.72983710766786,1017
TCGA-64-5781-01Z-00-DX1,61751,36291,39.57261574990107,1013
TCGA-49-AAR9-01Z-00-DX1,41832,27479,39.603960396039604,1013
TCGA-55-7576-01Z-00-DX1,45084,28924,39.682539682539684,1015
TCGA-95-8494-01Z-00-DX1,107136,78848,44.150110375275936,1130
TCGA-55-8299-01Z-00-DX1,35856,46200,40.7000407000407,1041
TCGA-MP-A4TJ-01Z-00-DX1,87691,78446,39.63535473642489,1014
TCGA-97-A4M5-01Z-00-DX1,111080,92849,40.241448692152915,1030
TCGA-73-4670-01Z-00-DX1,136212,78866,39.682539682539684,1015
TCGA-78-7147-01Z-00-DX1,115109,84529,39.682539682539684,1015
TCGA-50-7109-01Z-00-DX1,92087,79009,39.682539682539684,1015
TCGA-86-8054-01Z-00-DX1,70984,44858,39.682539682539684,1015
TCGA-69-7761-01Z-00-DX1,136212,83430,39.682539682539684,1015
TCGA-49-4512-01Z-00-DX6,103598,81136,39.682539682539684,1015
TCGA-78-7536-01Z-00-DX1,115109,84273,39.682539682539684,1015
TCGA-73-4659-01Z-00-DX1,145805,59166,39.682539682539684,1015
TCGA-55-8091-01Z-00-DX1,56595,33836,39.682539682539684,1015
TCGA-49-6744-01Z-00-DX1,105517,83942,39.682539682539684,1015
TCGA-55-A4DG-01Z-00-DX1,27818,23967,39.682539682539684,1015
TCGA-86-7701-01Z-00-DX1,69065,84146,39.682539682539684,1015
TCGA-44-8119-01Z-00-DX1,54726,25547,39.920159680638726,1021
TCGA-NJ-A55A-01Z-00-DX1,107567,89510,39.57261574990107,1013
TCGA-49-4494-01Z-00-DX4,128538,65620,39.682539682539684,1015
TCGA-55-8621-01Z-00-DX1,36451,35444,39.682539682539684,1015
